id,title,genres,averageRating,numVotes,releaseYear
tt3895150,Your Lie in April,"Animation, Comedy, Drama",8.5,40043,2014
tt2359704,JoJo's Bizarre Adventure,"Action, Adventure, Animation",8.5,37993,2012
tt0373732,The Boondocks,"Action, Animation, Comedy",8.5,36897,2005
tt12714854,Mumbai Diaries,"Drama, Thriller",8.5,30856,2021
tt1526318,Borgen,Drama,8.5,30546,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30056,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29561,2009
tt0043208,I Love Lucy,Comedy,8.5,29426,1951
tt10802170,The Rehearsal,"Comedy, Documentary",8.5,27165,2022
tt9398466,Delhi Crime,"Crime, Drama",8.5,26863,2019
tt0075520,Jesus of Nazareth,"Biography, Drama, History",8.5,25379,1977
tt16296870,The Railway Men,"Drama, History, Thriller",8.5,25146,2023
tt1353056,RuPaul's Drag Race,"Game-Show, Reality-TV",8.5,23918,2009
tt0088727,Anne of Green Gables,"Drama, Family",8.5,23151,1985
tt0262985,Queer as Folk,"Drama, Romance",8.5,22824,2000
tt9522300,Kaguya-sama: Love is War,"Animation, Comedy, Romance",8.5,21898,2019
tt11407524,Hostel Daze,"Comedy, Drama",8.5,21479,2019
tt2674806,Inside No. 9,"Comedy, Crime, Drama",8.5,21387,2014
tt7259746,Queer Eye,Reality-TV,8.5,21357,2018
tt0346314,Ghost in the Shell: Stand Alone Complex,"Action, Animation, Crime",8.5,21341,2002
tt0182629,Rurouni Kenshin,"Action, Adventure, Animation",8.5,20892,1996
tt6005644,TVF Tripling,"Comedy, Drama",8.5,20740,2016
tt1094229,Heartland,"Drama, Family",8.5,20653,2007
tt0397150,Garth Marenghi's Darkplace,"Comedy, Fantasy, Horror",8.5,20494,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20007,2014
tt2155025,Please Like Me,"Comedy, Drama, Romance",8.5,19984,2013
tt0047708,Alfred Hitchcock Presents,"Crime, Drama, Mystery",8.5,19627,1955
tt12074628,Smiling Friends,"Animation, Comedy, Short",8.5,19418,2020
tt0493331,Barareh Nights,Comedy,8.5,18691,2005
tt5425186,Horace and Pete,"Comedy, Drama",8.5,17755,2016
tt0070644,Scenes from a Marriage,Drama,8.5,17427,1973
tt4295140,Chef's Table,"Biography, Documentary",8.5,17264,2015
tt8317568,Broken But Beautiful,"Drama, Romance",8.5,17224,2018
tt0185133,Yu Yu Hakusho: Ghost Files,"Action, Adventure, Animation",8.5,16599,1992
tt1230180,The Angry Video Game Nerd,"Action, Comedy, Sci-Fi",8.5,16006,2004
tt0131179,Detective Conan,"Action, Animation, Comedy",8.5,15905,1996
tt6958022,The Defiant Ones,"Biography, Crime, Documentary",8.5,15781,2017
tt0061287,The Prisoner,"Drama, Mystery, Sci-Fi",8.5,15339,1967
tt11691684,Flower of Evil,"Crime, Mystery, Romance",8.5,15300,2020
tt0934320,Summer Heights High,"Comedy, Drama, Family",8.5,15250,2007
tt0098825,House of Cards,Drama,8.5,15243,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,14975,2005
tt26225038,Death's Game,"Drama, Fantasy",8.5,14763,2023
tt22185582,Sixer,"Drama, Sport",8.5,14130,2022
tt27867155,Mr Bates vs. The Post Office,"Biography, Drama",8.5,12768,2024
tt0315008,Great Teacher Onizuka,"Animation, Comedy, Drama",8.5,12067,1999
tt0161952,Saint Seiya: Knights of the Zodiac,"Action, Adventure, Animation",8.5,11517,1986
tt12369754,Staged,"Comedy, Drama",8.5,10672,2020
tt0062550,The Bugs Bunny/Road Runner Hour,"Animation, Comedy",8.5,10348,1968
tt11052470,Move to Heaven,Drama,8.5,10179,2021
tt2301351,RuPaul's Drag Race All Stars,"Game-Show, Reality-TV",8.5,10156,2012
tt1632701,Suits,"Comedy, Drama",8.4,497127,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,495872,2005
tt11198330,House of the Dragon,"Action, Adventure, Drama",8.4,450372,2022
tt2467372,Brooklyn Nine-Nine,"Comedy, Crime",8.4,378896,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,273701,2001
tt5675620,The Punisher,"Action, Crime, Drama",8.4,272374,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,264428,2024
tt5834204,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,264105,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,260801,2008
tt3920596,Big Little Lies,"Crime, Drama, Mystery",8.4,230329,2017
tt7221388,Cobra Kai,"Action, Comedy, Drama",8.4,213284,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,204192,2019
tt0285331,24,"Action, Crime, Drama",8.4,199288,2001
tt10155688,Mare of Easttown,"Crime, Drama, Mystery",8.4,196297,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183289,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178550,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,177613,2022
tt2401256,The Night Of,"Crime, Drama, Mystery",8.4,176859,2016
tt7657124,The Heroes,"Animation, Drama, History",8.4,168553,2008
tt8398600,After Life,"Comedy, Drama",8.4,156837,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156593,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,135646,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130700,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,129747,2013
tt0458290,Star Wars: The Clone Wars,"Action, Adventure, Animation",8.4,125944,2008
tt2149175,The Americans,"Crime, Drama, Mystery",8.4,114094,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112320,2006
tt0118480,Stargate SG-1,"Action, Adventure, Drama",8.4,103109,1997
tt2788432,American Crime Story,"Biography, Crime, Drama",8.4,99932,2016
